period,org_code,type,attendances,breaches,admissions
2017-03-01,RAX,1,9239,968,1839
2017-03-01,RAX,2,1163,4,0
2017-03-01,RJ2,1,18137,2993,4967
2017-03-01,RJ2,other,6527,113,0
2017-03-01,R1K,1,12137,4874,4659
2017-03-01,R1K,other,16738,126,0
2017-03-01,RC1,1,6402,306,2022
2017-03-01,RRK,1,10032,1543,2818
2017-03-01,RCD,1,3975,135,988
2017-03-01,RCD,other,895,0,0
2017-02-01,RAX,1,7677,1121,1646
2017-02-01,RAX,2,915,0,0
2017-02-01,RJ2,1,16054,3095,4397
2017-02-01,RJ2,other,5012,0,0
2017-02-01,R1K,1,10644,4616,4050
2017-02-01,R1K,other,14585,109,0
2017-02-01,RC1,1,5530,444,1818
2017-02-01,RRK,1,8753,1654,2531
2017-02-01,RCD,1,3290,208,787
2017-02-01,RCD,other,724,0,0
2017-01-01,RAX,1,8628,1652,1782
2017-01-01,RAX,2,879,0,0
2017-01-01,RJ2,1,17998,4454,4657
2017-01-01,RJ2,other,5481,164,0
2017-01-01,R1K,1,11961,5897,4587
2017-01-01,R1K,other,16918,199,0
2017-01-01,RC1,1,6024,555,1908
2017-01-01,RRK,1,9640,2585,2919
2017-01-01,RCD,1,3575,262,917
2017-01-01,RCD,other,743,0,0
2016-12-01,RAX,1,9191,1417,1896
2016-12-01,RAX,2,888,0,0
2016-12-01,RJ2,1,18393,4254,5098
2016-12-01,RJ2,other,5750,289,0
2016-12-01,R1K,1,12163,5392,4705
2016-12-01,R1K,other,17439,228,0
2016-12-01,RC1,1,6147,614,1916
2016-12-01,RRK,1,9449,2179,2882
2016-12-01,RCD,1,4065,363,998
2016-12-01,RCD,other,769,0,0
2016-11-01,RAX,1,8776,1159,1731
2016-11-01,RAX,2,974,12,0
2016-11-01,RJ2,1,17774,3695,4868
2016-11-01,RJ2,other,5906,312,0
2016-11-01,R1K,1,11526,4062,4715
2016-11-01,R1K,other,16454,122,0
2016-11-01,RC1,1,5998,434,1694
2016-11-01,RRK,1,9422,1759,2682
2016-11-01,RCD,1,3959,295,949
2016-11-01,RCD,other,796,0,0
2016-10-01,RAX,1,9267,1068,1747
2016-10-01,RAX,2,1024,6,0
2016-10-01,RJ2,1,17756,3669,4904
2016-10-01,RJ2,other,6136,448,0
2016-10-01,R1K,1,11857,3752,5060
2016-10-01,R1K,other,17477,97,0
2016-10-01,RC1,1,6193,778,1664
2016-10-01,RRK,1,10075,2013,2775
2016-10-01,RCD,1,3968,237,922
2016-10-01,RCD,other,903,0,0
2016-09-01,RAX,1,8796,759,1641
2016-09-01,RAX,2,1056,1,0
2016-09-01,RJ2,1,17094,2873,4715
2016-09-01,RJ2,other,5629,218,0
2016-09-01,R1K,1,11733,3227,5086
2016-09-01,R1K,other,16458,85,0
2016-09-01,RC1,1,6068,568,1891
2016-09-01,RRK,1,9578,1751,2693
2016-09-01,RCD,1,4015,185,857
2016-09-01,RCD,other,931,0,0
2016-08-01,RAX,1,8210,799,1557
2016-08-01,RAX,2,1017,0,0
2016-08-01,RJ2,1,16375,2918,4413
2016-08-01,RJ2,other,5336,143,0
2016-08-01,R1K,1,11421,2179,5113
2016-08-01,R1K,other,15490,62,0
2016-08-01,RC1,1,5864,508,1686
2016-08-01,RRK,1,9584,1771,2754
2016-08-01,RCD,1,4013,250,851
2016-08-01,RCD,other,881,1,0
2016-07-01,RAX,1,8832,612,1637
2016-07-01,RAX,2,992,2,0
2016-07-01,RJ2,1,17635,3245,4459
2016-07-01,RJ2,other,5796,254,0
2016-07-01,R1K,1,11477,2544,5374
2016-07-01,R1K,other,17557,100,0
2016-07-01,RC1,1,6446,672,1833
2016-07-01,RRK,1,9842,1333,2744
2016-07-01,RCD,1,4312,220,972
2016-07-01,RCD,other,926,0,0
2016-06-01,RAX,1,8669,781,1650
2016-06-01,RAX,2,953,2,0
2016-06-01,RJ2,1,17107,3597,4004
2016-06-01,RJ2,other,5766,240,0
2016-06-01,R1K,1,11931,2508,5364
2016-06-01,R1K,other,14846,123,0
2016-06-01,RC1,1,6078,490,1802
2016-06-01,RRK,1,9608,1397,2747
2016-06-01,RCD,1,4103,198,845
2016-06-01,RCD,other,884,0,0
2016-05-01,RAX,1,9241,794,1638
2016-05-01,RAX,2,917,9,0
2016-05-01,RJ2,1,18202,3064,3909
2016-05-01,RJ2,other,5688,209,0
2016-05-01,R1K,1,12786,3145,5487
2016-05-01,R1K,other,15782,278,0
2016-05-01,RC1,1,6508,475,1848
2016-05-01,RRK,1,10199,1843,2878
2016-05-01,RCD,1,4304,234,930
2016-05-01,RCD,other,876,0,0
2016-04-01,RAX,1,8328,459,1541
2016-04-01,RAX,2,925,1,0
2016-04-01,RJ2,1,16802,2908,3516
2016-04-01,RJ2,other,4940,149,0
2016-04-01,R1K,1,11715,2652,5141
2016-04-01,R1K,other,16850,150,0
2016-04-01,RC1,1,5820,357,1769
2016-04-01,RRK,1,9044,1195,2744
2016-04-01,RCD,1,3830,246,839
2016-04-01,RCD,other,693,0,0
2018-03-01,RAX,1,9278,1657,2277
2018-03-01,RAX,2,1042,6,0
2018-03-01,RJ2,1,13439,3804,4563
2018-03-01,RJ2,other,12325,404,0
2018-03-01,R1K,1,12581,4524,6095
2018-03-01,R1K,other,17247,273,0
2018-03-01,RC1,1,6457,1056,2095
2018-03-01,RC1,other,190,0,0
2018-03-01,RRK,1,9936,2154,3896
2018-03-01,RCD,1,4240,369,935
2018-03-01,RCD,other,717,0,0
2018-02-01,RAX,1,8124,1382,1943
2018-02-01,RAX,2,949,0,0
2018-02-01,RJ2,1,11969,2975,4106
2018-02-01,RJ2,other,11040,347,0
2018-02-01,R1K,1,11140,3216,5658
2018-02-01,R1K,other,15887,308,0
2018-02-01,RC1,1,5795,1115,1850
2018-02-01,RC1,other,171,0,0
2018-02-01,RRK,1,9322,2048,3922
2018-02-01,RCD,1,3705,268,932
2018-02-01,RCD,other,625,0,0
2018-01-01,RAX,1,9047,1287,2172
2018-01-01,RAX,2,1075,0,0
2018-01-01,RJ2,1,13162,3787,4518
2018-01-01,RJ2,other,12660,515,0
2018-01-01,R1K,1,12208,4689,5781
2018-01-01,R1K,other,17641,217,0
2018-01-01,RC1,1,6162,802,2121
2018-01-01,RC1,other,169,0,0
2018-01-01,RRK,1,10083,2181,3947
2018-01-01,RCD,1,4025,370,1029
2018-01-01,RCD,other,692,1,0
2017-12-01,RAX,1,9076,1361,2188
2017-12-01,RAX,2,880,0,0
2017-12-01,RJ2,1,13202,3101,4353
2017-12-01,RJ2,other,11777,386,0
2017-12-01,R1K,1,11883,4912,5557
2017-12-01,R1K,other,17803,357,0
2017-12-01,RC1,1,6269,926,2044
2017-12-01,RC1,other,119,0,0
2017-12-01,RRK,1,9667,986,3552
2017-12-01,RCD,1,4294,409,1108
2017-12-01,RCD,2,475,0,0
2017-12-01,RCD,other,631,0,0
2017-11-01,RAX,1,9027,1056,2153
2017-11-01,RAX,2,1073,0,0
2017-11-01,RJ2,1,13247,2446,4479
2017-11-01,RJ2,other,11628,216,0
2017-11-01,R1K,1,11185,3911,5344
2017-11-01,R1K,other,17061,323,0
2017-11-01,RC1,1,6179,700,1988
2017-11-01,RC1,other,193,0,0
2017-11-01,RRK,1,9522,1804,3073
2017-11-01,RCD,1,3998,173,981
2017-11-01,RCD,other,712,0,0
2017-10-01,RAX,1,9197,758,2115
2017-10-01,RAX,2,1052,0,0
2017-10-01,RJ2,1,18463,1758,4498
2017-10-01,RJ2,other,5939,111,0
2017-10-01,R1K,1,11624,3594,5298
2017-10-01,R1K,other,16793,174,0
2017-10-01,RC1,1,6246,480,1750
2017-10-01,RC1,other,154,0,0
2017-10-01,RRK,1,10348,2190,2977
2017-10-01,RCD,1,4251,187,990
2017-10-01,RCD,other,792,0,0
2017-09-01,RAX,1,8697,811,1921
2017-09-01,RAX,2,1059,0,0
2017-09-01,RJ2,1,17862,2248,4292
2017-09-01,RJ2,other,5891,149,0
2017-09-01,R1K,1,11272,4847,4664
2017-09-01,R1K,other,15495,123,0
2017-09-01,RC1,1,5996,595,1814
2017-09-01,RC1,other,84,0,0
2017-09-01,RRK,1,9693,1683,2801
2017-09-01,RCD,1,4065,284,959
2017-09-01,RCD,other,887,1,0
2017-08-01,RAX,1,8187,799,1887
2017-08-01,RAX,2,1039,0,0
2017-08-01,RJ2,1,17059,1640,4284
2017-08-01,RJ2,other,5859,87,0
2017-08-01,R1K,1,11541,3672,4905
2017-08-01,R1K,other,14681,89,0
2017-08-01,RC1,1,5899,269,1806
2017-08-01,RRK,1,9685,1279,2890
2017-08-01,RCD,1,4002,186,930
2017-08-01,RCD,other,931,0,0
2017-07-01,RAX,1,9006,708,1972
2017-07-01,RAX,2,1006,0,0
2017-07-01,RJ2,1,18080,1901,4680
2017-07-01,RJ2,other,6954,150,0
2017-07-01,R1K,1,12136,3317,5362
2017-07-01,R1K,other,16565,116,0
2017-07-01,RC1,1,6690,465,2006
2017-07-01,RRK,1,10189,1357,2938
2017-07-01,RCD,1,4293,138,936
2017-07-01,RCD,other,975,0,0
2017-06-01,RAX,1,8784,970,1969
2017-06-01,RAX,2,1097,1,0
2017-06-01,RJ2,1,17705,1313,4371
2017-06-01,RJ2,other,7022,155,0
2017-06-01,R1K,1,11649,3781,4890
2017-06-01,R1K,other,16268,156,0
2017-06-01,RC1,1,6486,266,1911
2017-06-01,RRK,1,9505,1190,2776
2017-06-01,RCD,1,4197,152,937
2017-06-01,RCD,other,926,1,0
2017-05-01,RAX,1,9376,1146,2075
2017-05-01,RAX,2,1084,0,0
2017-05-01,RJ2,1,18334,2525,4449
2017-05-01,RJ2,other,7250,192,0
2017-05-01,R1K,1,12321,4442,4974
2017-05-01,R1K,other,16903,136,0
2017-05-01,RC1,1,6625,322,2096
2017-05-01,RRK,1,10122,1558,2846
2017-05-01,RCD,1,4364,229,1027
2017-05-01,RCD,other,934,0,0
2017-04-01,RAX,1,8406,888,1717
2017-04-01,RAX,2,836,0,0
